name,artist,cluster
Shazzy Dub,The Black Seeds,10
Oslo,Nev Cottee,10
Royals,Lorde,4
Mañana,Souleance,10
Bubuia,Céu,2
Lucky Man,Courtney John,6
Haven't You Heard,Patrice Rushen,0
Tainted Love,Stella Starlight Trio,4
In Time,Sly & The Family Stone,6
Rosie,Joan Armatrading,8
How Many Times?,Ayọ,5
Happy,The Bamboos,10
Como Quisiera Decirte,Murcof,8
Sky's The Limit (feat. 112),The Notorious B.I.G.,4
You Kick Out,Alekesam,5
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,3
If You Love & Let Go,Valerie June,5
The Hellcat Spangled Shalalala,Arctic Monkeys,8
To The Sea,Jack Johnson,8
Crash on the Highway,Hurray For The Riff Raff,7
Thinking of You - 2006 Remaster,Sister Sledge,1
What We Called Love,Liza Flume,2
Nice and Nasty,The Salsoul Orchestra,10
Heavy Cross,Gossip,4
Everything'll Be Alright (Will's Lullaby),Joshua Radin,5
I'll Take Care Of U,Gil Scott-Heron,3
In The Sun,She & Him,1
Super Bon Bon,Soul Coughing,1
For 12,Other Lives,5
It's Your Move,Felix Da Housecat,1
Are You Ready?,Fatty Gets A Stylist,1
Jailer,Aṣa,6
Forbidden Fruit,Korby Lenker,6
Just Kissed My Baby,The Meters,8
In For The Kill,La Roux,1
Used to Get High,John Butler Trio,1
Put a Light On,Generationals,1
Bugs Will Bite,Fila Brazillia,10
Again,Splendid,1
Camel Walk,The Latinaires,9
In the Summertime,Ken Boothe,6
Pusher Love Girl,Justin Timberlake,9
I'm Alone Because I Love You,Meschiya Lake and The Little Big Horns,2
Up in the Blue,Dené Theron,2
Bye Bye,Stéphanie Crayencour,8
Cactus,Tanlines,1
Draw The Line,Janne Schra,4
That's What's Up,Edward Sharpe & The Magnetic Zeros,8
Girl On A Bicycle,Ralph McTell,7
Turn Me On,Bromheads Jacket,6
Jammin',Bob Marley & The Wailers,1
I Like The Chemistry,Moss,8
No Road Is The Right Road - Remastered Version,Christine Perfect,5
Hey Laura,Gregory Porter,2
Heavenly,Gerrit De Boer,4
I Shall Be Released - Remastered,The Band,4
Someday Soon,KT Tunstall,5
One More Time,Peven Everett,6
On the Road,Wolf in Loveland,4
Kiss That Grrrl,Kate Nash,1
Summer Vibe,Walk off the Earth,2
I Just Fell in Love Again,Quantic,1
Late Disco,Last Lynx,4
Take It As It Comes,J. Roddy Walston & The Business,8
City of the Satellites,Montag Mania,8
How the Ranks Was Won,Brazos,1
Rollercoaster,M. Ward,5
Run Faster,Buchanan,8
Burning Bright,Maya Jane Coles,1
Crazy Day,Amp Fiddler,1
Que Voy a Hacer,Gaby Moreno,7
Please Love Me,Liam Bailey,1
Black Man's Country,"Horace ""Andy"" Hinds",5
Soul Rebel - 1970 Version,Bob Marley & The Wailers,6
The Black Ballroom Skank (Outlaw Larry Point a Gun) aka The Black Ballroom Murder,The Upsessions,1
Bra,Cymande,1
My Zero,Ezra Furman,9
Brimful of Asha (Norman Cook Remix) (Single Version),Cornershop,1
Tainted Love,Imelda May,8
Control,Disclosure feat. Ria Ritchie,6
Like That,Naive Set,8
Let Me Be,Xavier Rudd,2
The Volcano Song,The Budos Band,10
And It's Supposed To Be Love,Ayọ,5
I'm A Pilgrim,Bowling Green John Cephas,2
Piedad,Jorge Sepúlveda,4
House Carpenter,Kelly Joe Phelps,5
Winter in the Hamptons,Josh Rouse,8
Everything on Wheels,AWKWARD i,2
I Feel Sanctified,Wild Cherry,6
I Won't Back Down,Johnny Cash,2
Blink And You'll Miss A Revolution,Cut Copy,1
I Know She Will,Big Bill Broonzy,5
O Caminho Do Bem,Tim Maia,6
The Wiggle,Vinnie Who,1
Swimsuit,Cayucas,8
Colorful Kids,Ha Ha Tonka,8
Everybody Is a Star - Single Version,Sly & The Family Stone,9
Junker's Blues,Champion Jack Dupree,5
Yèkèrmo Sèw,Mulatu Astatke,10
Slave To The Music,James Morrison,1
Don’t Get Around Much Anymore,Mose Allison,2
Got 'Til It's Gone,Janet Jackson,3
How Long,Sugardaddy,1
Playin' With My Friends,Masters In France,6
Lookin' Out My Back Door,Creedence Clearwater Revival,6
Home,She & Him,4
Lighthouse,NewVillager,8
Poetic Justice,Kendrick Lamar,3
Topknot,Cornershop,1
The Blizzard's Never Seen the Desert Sands,The Tallest Man On Earth,2
Thieves,She & Him,4
I'm Too Tough For Mr. Big Stuff (Hot Pants),Vicki Anderson,3
Need Somebody,Them Vibes,1
Maria (You Were The Only One),Michael Jackson,8
The PL,Typesun,3
...Rhodesia,Japan,0
Mystery Of Black (Pt. 1),Shades Of Black,1
I'll Get Along,Michael Kiwanuka,2
Need Your Love so Bad,Fleetwood Mac,7
So Long My Love,Tomorrow's World,10
La Mer,Askehoug,4
Soul Drummers,Ray Barretto,8
Let's Have A Kiki,Scissor Sisters,1
Feel Like Makin' Love,Elizabeth Archer & The Equators,1
Rexanimarum,Israel Nash,4
Would That Not Be Nice,Divine Fits,1
Our Love,Donavon Frankenreiter,6
Black & White (feat. Joey Bada$$),Jared Evan & Statik Selektah,1
Hurry On Down,Elektrons,1
Carefree,Mica Paris,1
The New Pollution,Beck,1
Feeling Good,The Quantic Soul Orchestra,1
Vanished,Crystal Castles,1
Someone Like You,Paolo Nutini,5
Lost and Found,Tessa Rose Jackson,4
Green-Eyed Lady,Sugarloaf,0
Catch the Wind,Donovan,7
I Can't Make It Alone,Dusty Springfield,4
Cántame Un Pasodoble Español,Jorge Sepúlveda,2
Chicken Payback,The Bees,1
Before I Go,Daniel Norgren,5
Seaside,The Kooks,2
Six And Seven Books,Toots & The Maytals,2
Come to Me (JStar Remix Feat. MC Ishu),The Black Seeds,3
Oh No He Isn't! Oh Yes He Is!,Dan Lyth,5
#9 Dream,José González,0
Everybody Needs Lovin,Toots & The Maytals,6
Let's Make Love and Listen to Death From Above,CSS,1
Some Girls - Radio Edit,King Jack,1
There Is a Mountain - Single Version,Donovan,3
I Turned You On,The Isley Brothers,1
Rock Steady,Alton Ellis,2
Ernie,Fat Freddy's Drop,0
Mrs. Cold,Kings of Convenience,2
Ever Fallen In Love,Nouvelle Vague,1
My Home Is In The Delta,Muddy Waters,5
Bubbly,Colbie Caillat,4
Shutter,Honey Bones,1
Jungle Boogie,Kool & The Gang,1
Christabella - Radio Edit,Renkas,1
Motherland,Silver Firs,10
Better Together,Jack Johnson,6
The One I Love,R.E.M.,8
I Got A Man (DJ Funk Master Mix),Positive K,3
"Stoned, Pt. 2",Lewis Taylor,8
Drunk In The Morning,Lukas Graham,1
Lover,Devendra Banhart,1
Just Like a Woman,Roberta Flack,5
I Shot My Man,Nina Kinert,1
Rebel Music,Bob Marley & The Wailers,8
Constant Conversations,Passion Pit,4
Be Who You Want to Be - EP Version,Max Frost,1
Don't Turn The Lights On,Chromeo,1
John Henry,Sonny Terry and Brownie McGhee,2
Nsu Na Kwan,Ebo Taylor,1
Poco Regueton,Freddy Fresh,6
Cirrus,Bonobo,10
Happy Virus,Hundreds,10
Five Day Nights,Tubbs,6
Backwater Blues,Meschiya Lake and The Little Big Horns,2
Over The Hill,John Martyn,2
Dans La Rue,Mamy Wata,8
La forme et le fond,Keren Ann,10
It's Great When We're Together,Finley Quaye,2
We Walk,R.E.M.,5
Walk On The Wild Side,Pink Turtle,3
Bitte Bitte,The Phoenix Foundation,8
"Siki, Siki Baba - Gaetano Fabri Remix",Gaëtano Fabri,10
Nancy From Now On,Father John Misty,4
Listening Wind - 2005 Remaster,Talking Heads,10
London Busking,The Jouby's,3
Don't Make a Fool Out of Me,"Kitty, Daisy & Lewis",1
Squares,The Beta Band,6
O Tempo E O Rio,Edu Lobo,5
Ali (Budzillus refix),Analogik,6
Feel Good Inc.,Gorillaz,9
Come And Get It,"Eli ""Paperboy"" Reed",1
Shake!,Black Market Audio,1
Pumped up Kicks,Foster The People,1
"3,6,9",Cat Power,8
"Hey Hey - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,8
Ooohh,Bronstibock,3
Mr Doorman,Arsenal,1
Presente De Um Beija-Flor,Natiruts,6
(This Is For The) Better Days,The Bees,1
Rude Boi,Passafire,1
Guava Jelly,Johnny Nash,4
Bring 'Em All In,Mike Scott,5
Good & Bad,Povo,10
"Si, Se Puede",Antibalas,0
Every Time the Sun Comes Up,Sharon Van Etten,4
Born To Wander,Rare Earth,9
Make It Good - Radio Edit,The White Lamp,6
Cherry Wine,Nas,1
Naughty Girl,Beyoncé,8
Old Thing,Tiffany Stevenson,3
Mas Que Nada,Elza Soares,1
Cecilia - Single Mix,Simon & Garfunkel,1
Rill Rill,Sleigh Bells,1
See Them A Come,X-O-Dus,0
Shuffle,Bombay Bicycle Club,1
She Was Fly w/ Eric Roberson,Full Crate x Mar,3
Ready For The Beat,The Upsessions,8
Good Morning Little School Girl,Taj Mahal,2
Love Letter (feat. The Cataracs and Dev),Shwayze,1
Ray Ray,Fat Freddy's Drop,0
The Bad Touch,Bloodhound Gang,1
Free,Jack and the Weatherman,6
UK Jamaican,Tricky,1
Times Getting' Tougher Than Tough Alt. Take,Jimmy Witherspoon,2
Devil Woman,Marty Robbins,2
Deep Blue Sea,John Lee Hooker,1
Gold,JAWS,8
Salad Days,Mac DeMarco,8
Eyes As Candles,Passion Pit,1
Love And Happiness,Toots Hibbert,0
Rescue Me - Single Version,Fontella Bass,2
Anybody Seen My Mind,Michael Franti,5
this shit getz old,Never Shout Never,1
Mala Vida,Nouvelle Vague,2
African Teacher,Burning Spear,6
Jaloux,Stéphanie Crayencour,4
Batteria,Kab Driver,3
Echoes From The Surface,The Jack Baker Trio,10
Breathing Lessons,edapollo,10
Dreadlock Holiday,10cc,6
Going Back to My Roots,Richie Havens,1
Cool Me Down,The Black Seeds,1
No,Moodymann,10
Back Of Your Car,Paulusma,1
Ain't Nothin' Goin' On But The Rent,Gwen Guthrie,6
It's Just Begun,The Jimmy Castor Bunch,9
I'm All Done,Nathan Fox,2
Blessed,Brett Dennen,6
Water Bombs,Twinsy,1
Things Are Changin' - Solo Acoustic; Live,Gary Clark Jr.,2
Ex Oriente Lux,Shantel,10
Warm Heart Of Africa (Feat. Ezra Koenig),The Very Best,1
I've Been Working - 1999 Remaster,Van Morrison,6
Anna,Roelie Vuitton & Lucky Fonz III,1
I Say Nothing,Yori,2
Born Free,BB Seaton,2
Memphis Soul Stew,King Curtis,1
Fast Car (feat. Kina Grannis),Kina Grannis,2
Les Dilettantes - Roosevelt Mix,COMA,0
Hurricane,Bob Dylan,0
Summertime - Single Version,Billy Stewart,9
"Baby, Scratch My Back",Slim Harpo,2
Paint It Red,Two Inch Punch,5
Roderigo,Lack Of Afro,10
Killa Dilla (Snooky meets the girl),The Slims,1
Chocolate,The 1975,1
No Ulterior Motives,Walk off the Earth,2
In The Back Of My Ship (feat. dOP),Nôze,6
Connect Back,Splendid,6
Sudden Rush,Erlend Øye,6
Too Darn Hot - RAC Mix,Ella Fitzgerald,1
I'm A Rat,De Staat,1
Jamaica Say You Will,Jackson Browne,5
Have You Seen Her Face,The Byrds,8
King Charles,The Budos Band,10
Good Disease,Aim,10
Funkier Than A Mosquita's Tweeter - Remastered,Ike & Tina Turner,6
Second Best,Kris Berry,8
Só Tinha De Ser Com Voce (Com Tom),Elis Regina,5
Sunshine (Come on Lady),Josh Rouse,6
Ethanopium,Dengue Fever,10
Rider in the Rain,Randy Newman,5
Word Up,The BossHoss,1
Taxi Cab - Vampire Weekend Cover,Tracey Thorn,6
I'm a King Bee,Slim Harpo,2
Flashback,Fat Freddy's Drop,6
New Tradition,Campfire OK,2
Wake Me Up - Acoustic,Aloe Blacc,4
Middle Of Nowhere,Hot Hot Heat,1
Broadswords,Bearcraft,1
Yeah Yeah,Willy Moon,1
Pressure Drop (feat. Cas Haley),Josh Heinrichs,2
Games People Play - Remastered 2002,Joe South,8
Who'll Stop The Rain,Creedence Clearwater Revival,1
Are You What You Want to Be?,Foster The People,9
Bakerman,Laid Back,6
Funky Kingston,Toots & The Maytals,1
Deli,Delorean,1
Time to Pretend,MGMT,7
98 - Original Mix,Stay Ali,10
Jungle Fever,The Chakachas,6
Louie Louie,Toots & The Maytals,6
Hop Hop Hop,Saban Bajramovic,6
Be my man,Aṣa,1
Be Africa - Beg To Differ Mix,Bibi Tanga,0
Follow Me,Red Astaire,9
Saturday in June,Maria Taylor,5
Shell Games,Bright Eyes,8
Take My Tip,The Manish Boys,1
Beautiful Ones (Remastered),Suede,1
Walkabout,Red Hot Chili Peppers,1
Aynotchesh Yererfu,The Budos Band,10
Tell Him,Patti Drew,2
Qua,Bronstibock,1
Latch,Disclosure,8
Moving Like Mike,Mac DeMarco,8
My Baby Left Me,Rox,1
LOW,Dylan LeBlanc,5
Fantastic,will.i.am,6
Karma Police,Radiohead,4
Soft Illusions,Andras Fox,10
Easy Skanking,Bob Marley & The Wailers,6
L'ombre et la lumiere,Coralie Clement,6
Rhiannon,Fleetwood Mac,6
The Big Rock Candy Mountain,Ed McCurdy,5
First True Love Affair - Larry Levan Remix,Jimmy Ross,0
Foreign Language - Drop Out Orchestra Remix,Flight Facilities,0
Firewater,Django Django,1
Blackbird,Fat Freddy's Drop,0
Sing a Simple Song,The Meters,10
Devotion,Jessie Ware,10
I Will Survive,Nils Landgren,2
Karma,Lady,7
This Modern Love,Bloc Party,8
Bring Another Bottle Baby - Stereo Version,Yusuf / Cat Stevens,2
Me And The Gang,Bohannon,1
You Get So Lucky,Adam Green,8
Rainbow Man 2.0,Busy P,10
Susie Q,Creedence Clearwater Revival,6
A Calf Born In Winter,Khruangbin,9
Toda Menina Baiana,Gilberto Gil,1
Eggsample - Eva Be's Egg Me Remix,Eva Be,10
Security,Otis Redding,6
Mission & 24th,Pimp Rekker,10
Howlin’ For You,The Black Keys,1
Romano Hiphop,Gipsy.cz,1
Favorite Star,Quadron,6
Do Leme Ao Pontal,Tim Maia,2
Don't Wait,Mapei,4
Lay It Down,Peter Bjorn and John,1
So Nevo Si,Goran Bregović,10
Dust Clears - Thom alt-J Remix,Clean Bandit,10
Luna,Fear of Men,8
High & Dry feat. Bilal - Radio Edit,Pete Kuzma,3
Souvenir,Swimm,4
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,6
Whole New Way,Scissor Sisters,1
Duerme,Josh Rouse,5
Iko Iko,Dr. John,8
Bring It Back,Happa,0
Amoureux Solitaires,Nouvelle Vague,7
Where I'm From,Eels,2
I'm Not In Love,Fun Lovin' Criminals,4
Stormy Monday Blues - Single Version / Stereo,"Bobby ""Blue"" Bland",7
Wit Me (feat. Lil Wayne),T.I.,3
For What It's Worth,Buffalo Springfield,2
Diplomat’s Son,Vampire Weekend,3
Baile de Ilusão,Céu,1
Les huîtres,MAI LAN,1
When We Were Young (feat. Dan Monte),Gaoler's Daughter,1
Waves,Electric Guest,1
59th Street Bridge Song (Feelin' Groovy) - Remastered Version,Harpers Bizarre,5
Llévatelo,Eskorzo Afrobeat Experience,1
The Love Me or Die,C.W. Stoneking,2
Jungle Drum,Emilíana Torrini,1
Sing To The Mountain,Elephant Revival,2
Tranvia,Gaby Moreno,5
Woke Up This Morning,Alabama 3,9
True Love Is Hard To Find,Toots & The Maytals,6
Backstabber,The Upsessions,2
Back From the Grave,Chromatics,1
Sailorboy,Love Like Birds,4
And That's Saying A Lot - Remastered Version,Christine Perfect,5
Tropicalia,Beck,1
Young Gifted And Black,Bob Andy,9
Fallout,Blair Dunlop,5
Midnight In Ethiopia,Rico,10
One Track Mind,Mayer Hawthorne,2
Burden,Dennis Bovell,8
So Here I Come,Neneh Cherry,6
It's Nobody's Fault But Mine,Blind Willie Johnson,5
Helplessly Hoping - Demo,Stephen Stills,5
Bad Religion,Frank Ocean,4
Where I'm From,Onra,10
10/10,Paolo Nutini,1
Numpty,Paolo Nutini,2
The Seventh Son,Mose Allison,2
House & Farm,Boy & Bear,7
A Summer Thing,Cayucas,1
You Got Me On So Bad,J.J. Cale,5
Vibrations Groove,Lord Shorty & Vibrations International,3
All My Tears,Ane Brun,2
Kokomo,The Beach Boys,1
I Believe In Miracles - Stereo,Mark Capanni,10
Fall In Love With Me,Japan,8
(I Don't Want To Go To) Chelsea,Elvis Costello & The Attractions,8
You Can't Be My Girl,Darwin Deez,1
The Last Trick,Anja Garbarek,4
Ka moun kè,Rokia Traoré,0
Crazy in Love - Radio Edit,Swing Republic,8
Ghetto: Misfortune's Wealth,24 Carat Black,3
A Drop In The Bucket,The Deacons,1
Ik Wil Alleen Maar Zwemmen,Spinvis,1
Judy In Disguise (With Glasses),John Fred and His Playboy Band,1
Written In Reverse,Spoon,1
Venus - The Original Version,Shocking Blue,10
Just the Way I Am,Danny Michel,3
Bip Bam Thank You Mam,Ann Peebles,6
Hey Mama,Black Eyed Peas,9
So Much Things To Say,Bob Marley & The Wailers,3
Two Princes,Spin Doctors,1
I'm Free - Remastered 2002,The Rolling Stones,4
Henry Nearly Killed Me [It's A Shame],Ray LaMontagne,4
Sunday Girl,She & Him,2
"You Are My Sunshine - From “O Brother, Where Art Thou” Soundtrack",Norman Blake,5
What's The Matter With Love,Lil Green,2
Over Your Shoulder,Chromeo,1
Sometimes,Michael Franti & Spearhead,1
Valsinha,Chico Buarque,7
After Tonight,Justin Nozuka,2
Edge of Extremes,Clubfeet,1
Zumm Zumm,Django Django,1
What Am I ?,David Philips,2
Only Man,Audio Bullys,1
Snatching It Back,Clarence Carter,2
3 Days,Rhye,6
"Forget Me Nots - 12"" Version",Patrice Rushen,0
They Don't Want,Electric Wire Hustle,1
Bilongo,Papi Brandao Y Sus Ejecutivos,1
All Or Nothin',Nikki Lane,10
Annie's Song,Sunshine Club,7
Jump from the Fence,Robin Block,5
Soul Killing,The Ting Tings,1
Let It Come Down,Nick Waterhouse,1
"Home Cooking, Pt. 1",The Soul Investigators,10
Mesie Julian,Josh Rouse,2
Upa Neguinho,Edu Lobo,1
(There Is) No Greater Love,Amy Winehouse,5
Paper Thin,Xavier Rudd,5
Hongo x Hongo,Fauna,1
Harpoon Land,Owiny Sigoma Band,6
Who Is He (And What Is He to You?),Bill Withers,6
Everything,Sean Christopher,7
Double Trouble,FEMME,1
Teflon Heart,Caged Animals,4
Octopus I Love You,Dalmatian Rex and the Eigentones,6
Weekend Special,Brenda & The Big Dudes,1
Didn't I,Darondo,8
Lively Up Yourself,Bob Marley & The Wailers,6
Standing in the Way of Control - Le Tigre Remix,Gossip,10
Pretty Please,Josephine Foster,2
Get It On,T. Rex,2
Cumbia y Tambo (En La Lluvia),La Pesada,1
Menininha do portão,Maria Rita,2
Song For No One,Miike Snow,1
Good Thing Going,Sugar Minott,6
Éxodo,Eskorzo Afrobeat Experience,0
You Fly Me,Fingathing,10
Radio,Raphael Saadiq,1
Black Magic Woman - Original,Dennis Brown,3
Let Me Down Easy,Paolo Nutini,6
Mercedes Benz,Janis Joplin,3
Summertime,Josh Rouse,2
I'm So Excited,Le Tigre,8
Lala,Gaby Moreno Y Su Orquesta,5
Kong,The Notwist,9
O Ti Yo,Midnight Groovers,3
All My Friends,Superpoze,7
Frisky,Sly & The Family Stone,2
Trouble,Hands,1
Dans mon quartier,Riff Cohen,8
Pelican,The Maccabees,8
Below the Waist,Queen Ifrica,3
Straight From The Harp,Damu The Fudgemunk,6
Up On Cripple Creek - Remastered 2000,The Band,1
I'm Doin' My Thang,Gramatik,3
Do the Dirt,The Meters,8
California Soul,Marlena Shaw,1
Keep On Running - Mono Version,The Spencer Davis Group,8
Ganja Babe,Michael Franti,6
Do It Do It Disco,Myron & E,1
This Is How I Feel,Finley Quaye,6
Better Unsaid,ambinate,10
Imaginist,Space Invadas,3
Da Ya Think I'm Sexy?,Cassandra Beck,4
Hey Love,Quadron,6
It's Your Thing,Ann Peebles,2
Everything I Do Gonna Be Funky (From Now On),Lou Donaldson,10
Down,The Kooks,3
Hey Ya! - Radio Version,The BossHoss,1
Little Fang,Avey Tare's Slasher Flicks,1
Je Ne Bois Pas Beaucoup,Les Ya Toupas Du Zaire,0
"What's Wrong, Momma",Mozes and the Firstborn,1
Appetite - Acoustic,Prefab Sprout,2
"Brother, Do You Know the Road?",Hiss Golden Messenger,4
Word Up,Cameo,6
Carnival,Natalie Merchant,8
Strong As Death (Sweet As Love),Al Green,6
Bring You Up,The Black Seeds,0
Brown Sugar,D'Angelo,4
Human Heart,Thao & The Get Down Stay Down,7
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,3
Cupid,Johnny Nash,9
Mushaboom,Feist,6
Stranger,Gerrit De Boer,4
Fake Empire,The National,7
Karmacoma,Massive Attack,3
Mal De Amor,Nara Leão,5
On Top,Matthew P,8
First Time I Ever Saw Your Face,Marcia Griffiths,4
"Will ""The Thrill""",Cayucas,8
Love Is the Drug - Sucker Punch: Original Motion Picture Soundtrack,Carla Gugino,1
Chicken in the Corn,Brushy One String,1
DJ,Amanda Blank,1
Hard To Handle,The Black Crowes,1
Little Brown Dog,Mo Kolours,1
Te Estás Equivocando,Gecko Turner,1
I Am Human,Moss,4
Just Don't Open Your Eyes Yet,Polarsets,1
Santa Maria de Feira,Devendra Banhart,2
Straight to Hell,Danny Michel,6
Marcia Baila,Nouvelle Vague,9
I Still Love You - Original,Switch,3
Happy Alone,Saintseneca,7
Bom Bom - Radio Edit,Sam And The Womp,3
Lazy Soul,Mux Mool,10
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,9
Helicopter - Star Slinger,Diafrix,1
Quiet Life,Japan,1
Wanna Be On Your Mind,Valerie June,1
These Days (feat. 77 Jefferson),Josh Heinrichs,6
Funky Monkey,Mandrill,0
Let's Ruin Julie's Birthday,Eels,1
Man in Black,Johnny Cash,2
Chemise,Souleance,1
7 Nation Army,Hayseed Dixie,2
Exodus,Bob Marley & The Wailers,0
Follow Me,Maia Vidal,2
Emmanuel,BASECAMP,4
The Way Young Lovers Do - 1999 Remaster,Van Morrison,4
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,6
Something Is Worrying Me,Otis Redding,6
Down in Mexico,The Coasters,2
Birds of a Feather,Watchhouse,5
Heart Of Stone,Jonathan Jeremiah,1
Poison,Martina Topley-Bird,1
All I Think About,Beans & Fatback,1
Lordy May,Boy & Bear,5
Hot Mess,Chromeo,1
Alocatel,Mexican Institute Of Sound,1
Plastic Bag Brain,Ghostpoet,4
Heaven Is in the Back Seat of My Cadillac,Hot Chocolate,6
Black & Gold - Radio Edit,Sam Sparro,8
Wave Myself Goodbye - Remastered 2011,Rory Gallagher,7
Such A Night,Donavon Frankenreiter,5
Colerain,Way Yes,10
It's Alright (Baby's Coming Back,Ane Brun,5
Day Dreamer,Donavon Frankenreiter,1
Goin' to See My Baby,Fatback Band,6
Bear Hug,The 2 Bears,10
Take Me Out,Scissor Sisters,8
MoneyGrabber,Fitz and The Tantrums,9
1977,Ana Tijoux,1
Anywhere Your Love Goes,Joshua Radin,4
Take Your Place,Rachèl Louise,4
Bobby Brown,The Soft Pack,1
L.I.F.E.G.O.E.S.O.N.,Noah And The Whale,1
"Birth, School, Work, Death",Manhead,1
Saké,Jupiter,1
Losing You,Solange,1
Little Lion Man,Mumford & Sons,4
Float On,The Floaters,2
Big Leg Woman,Muddy Waters,5
The Walk,Mayer Hawthorne,1
The Cave,Mumford & Sons,4
I'll Be Around,The Spinners,1
Bloodsport,Raleigh Ritchie,4
White,Tim Burgess,1
Constellations,Darwin Deez,10
SpottieOttieDopaliscious,Outkast,0
Who Do You Love,Bernard Wright,6
Spoonful,Howlin' Wolf,2
L.E.S Artistes,Santigold,1
Whiter Shade Of Pale,Pat Kelly,1
Motivational Speaker,Alvin Youngblood Hart,1
Ragged Wood,Fleet Foxes,4
Satisfy My Soul,Bob Marley & The Wailers,3
Body Slam,Bootsy Collins,0
Sweet Sweet Mbombo,Orchestre Baba National,0
Jealousy (70's Style),Gregory Isaacs,8
Echo Beach,Martha and the Muffins,8
Love Shack - Edit,The B-52's,9
That's How Strong My Love Is,Otis Redding,7
My Way,Will Saul Presents CLOSE,6
Love Fades,Amnesty,1
Sea,Roosevelt,10
Give it Up,Jon Mcxro,3
My Name Is Stain,Shaka Ponk,1
Straight to Hell (feat. Mick Jones),Lily Allen,4
Estaba el señor Don Gato,Joaquín Díaz,2
Amsterdam,Gregory Alan Isakov,7
Country Boy,Muddy Waters,7
Black Coffee,Heavy D & The Boyz,1
Take Five,Davy Graham,2
Swim Good,Frank Ocean,1
All We Do,KAYTRANADA,4
Falta de Ar,Céu,9
Summer Holiday,Alamo Race Track,1
'cept You & Me Babe,Greg Brown,4
Different Story,Lola Kite,1
À tout à l'heure,Bibio,4
Summerdaze,Daryll-Ann,9
Maybe So Maybe No,Mayer Hawthorne,2
Cat Got Your Tongue,Fujiya & Miyagi,10
Long Straight Lines,Matthew P,1
Concrete Schoolyard,Jurassic 5,3
Shakin' All Over,The Guess Who,9
I Like The Way You Walk,The Donkeys,4
You've Made Me So Very Happy,Brenda Holloway,8
Crazy Baldhead,Bob Marley & The Wailers,3
De Formule,De Jeugd Van Tegenwoordig,1
Natural Mystic,Bob Marley & The Wailers,3
Humpa Stylee,Black Market Audio,1
My First,Tosca,7
Nobody Move Nobody Get Hurt,Yellowman,1
Houdini,Foster The People,1
Pyro,Kings of Leon,4
Cape Canaveral,Conor Oberst,2
I Want You Back,Lake Street Dive,6
Milk & Honey,Hollie Cook,1
This Years Love,David Gray,7
"Piazza, New York Catcher",Belle and Sebastian,2
Magic,Panama,6
Promises,Eric Clapton,5
99 Problems,Hugo,8
Apples,The Tunes,1
Boy Meets Girl,The Maureens,8
Sweet Dreams,Señor Coconut,1
"You Need Me, I Don't Need You",Ed Sheeran,9
Your Heart,Donavon Frankenreiter,1
Angelika,Devendra Banhart,2
Where Are You Going When You're Gone,Greg Brown,1
Rise in the Sun,FM LAETI,1
Happiness Runs,Donovan,5
Walking In The Sand,Hollie Cook,9
Leaves,Cheers Elephant,8
Oxford Comma,Vampire Weekend,1
"Going Back to My Roots - 12"" Version",Odyssey,1
Laughing,R.E.M.,8
Upside Down,Paloma Faith,8
Never Marry A Railroad Man,Shocking Blue,8
Carol,Snorri Helgason,5
Right Me Up,State Radio,8
Honor and Harmony,G. Love & Special Sauce,1
Girl Of The North Country,Howard Tate,8
Manifold De Amour,Latin Playboys,5
Blood Rushes On,Zachary Cale,4
Change Your Style,Renee,1
Return of the Tres,Delinquent Habits,8
Every Day & Every Night,Tosca,10
Together,Swing Republic,10
Irene,Caetano Veloso,2
Dimestore Diamond,Gossip,6
Wonderful Life,The Felice Brothers,5
Young Gifted and Brown,Joe Bataan,8
"No More, My Lawd",Alan Lomax,5
Blue Skies,Noah And The Whale,4
I Want Candy,Bow Wow Wow,6
Sexy And I Know It,Ed Struijlaart,1
My Drugs,Mazes,1
Higher Palms,My Best Fiend,4
Sea Legs,The Shins,8
I Don't Know What I Can Save You From,Kings of Convenience,5
Play That Funky Music,Wild Cherry,6
Money,Lady,4
Yellow Moon,The Neville Brothers,6
Talkin' Bout a Revolution,Tracy Chapman,1
Home Is Where The Hatred Is - Remastered - 1988,Gil Scott-Heron,2
Naive,The Kooks,1
Lonely Boy,The Black Keys,8
Amigo,Black Slate,6
Absolute,Scritti Politti,1
Desert Island,Architecture In Helsinki,1
Bam Tululu,Cocosuma,10
What You Need,The Weeknd,4
The Way You Do The Things You Do,The Temptations,1
Ritual Union,Little Dragon,1
Bruises,Chairlift,8
Caxambu,Almir Guineto,2
The Rebel-Johnny Yuma,Johnny Cash,2
Night Work,Scissor Sisters,9
Jessica [feat. Ezra Koenig],Major Lazer,10
No Exit,Gil Scott-Heron,6
Araban,The Treble Spankers,8
The Set Up,Favored Nations,1
